beep,pulseRate,pulseWaveform,bloodSpO2,time,
False,57,139,96,2018-06-13 11:45:04.854342,
False,57,134,96,2018-06-13 11:45:04.870997,
False,57,130,96,2018-06-13 11:45:04.887664,
False,57,128,96,2018-06-13 11:45:04.904346,
False,57,128,96,2018-06-13 11:45:04.920986,
False,57,128,96,2018-06-13 11:45:04.937649,
False,57,128,96,2018-06-13 11:45:04.954371,
False,57,128,96,2018-06-13 11:45:04.970971,
False,57,128,96,2018-06-13 11:45:04.987639,
False,57,128,96,2018-06-13 11:45:05.004403,
False,57,128,96,2018-06-13 11:45:05.021014,
False,57,128,96,2018-06-13 11:45:05.037668,
False,57,128,96,2018-06-13 11:45:05.054354,
False,57,128,96,2018-06-13 11:45:05.070969,
False,57,128,96,2018-06-13 11:45:05.087678,
False,57,128,96,2018-06-13 11:45:05.104349,
False,57,128,96,2018-06-13 11:45:05.120972,
False,57,128,96,2018-06-13 11:45:05.137628,
False,57,128,96,2018-06-13 11:45:05.154381,
False,57,132,96,2018-06-13 11:45:05.170976,
False,57,139,96,2018-06-13 11:45:05.187629,
False,57,145,96,2018-06-13 11:45:05.204351,
False,57,152,96,2018-06-13 11:45:05.221012,
False,57,158,96,2018-06-13 11:45:05.237679,
False,57,164,96,2018-06-13 11:45:05.254367,
False,57,168,96,2018-06-13 11:45:05.270980,
False,57,173,96,2018-06-13 11:45:05.287702,
False,57,176,96,2018-06-13 11:45:05.304398,
False,57,179,96,2018-06-13 11:45:05.320992,
False,57,181,96,2018-06-13 11:45:05.337628,
False,57,183,96,2018-06-13 11:45:05.354383,
False,57,183,96,2018-06-13 11:45:05.370979,
False,57,183,96,2018-06-13 11:45:05.387643,
False,57,182,96,2018-06-13 11:45:05.404359,
True,57,181,96,2018-06-13 11:45:05.420955,
True,57,179,96,2018-06-13 11:45:05.437625,
False,57,175,96,2018-06-13 11:45:05.454356,
False,57,171,96,2018-06-13 11:45:05.470975,
False,57,168,96,2018-06-13 11:45:05.487644,
False,57,163,96,2018-06-13 11:45:05.504374,
False,57,160,96,2018-06-13 11:45:05.520960,
False,57,157,96,2018-06-13 11:45:05.537733,
False,57,155,96,2018-06-13 11:45:05.554329,
False,57,154,96,2018-06-13 11:45:05.570980,
False,57,152,96,2018-06-13 11:45:05.587630,
False,57,151,96,2018-06-13 11:45:05.604280,
False,57,150,96,2018-06-13 11:45:05.620986,
False,57,149,96,2018-06-13 11:45:05.637678,
False,57,147,96,2018-06-13 11:45:05.654302,
False,57,146,96,2018-06-13 11:45:05.670966,
False,57,144,96,2018-06-13 11:45:05.687684,
False,57,143,96,2018-06-13 11:45:05.704312,
False,57,142,96,2018-06-13 11:45:05.720975,
False,57,140,96,2018-06-13 11:45:05.737617,
False,57,139,96,2018-06-13 11:45:05.754318,
False,57,138,96,2018-06-13 11:45:05.770963,
False,57,136,96,2018-06-13 11:45:05.787607,
False,57,135,96,2018-06-13 11:45:05.804345,
False,57,134,96,2018-06-13 11:45:05.820983,
False,57,134,96,2018-06-13 11:45:05.837664,
False,57,133,96,2018-06-13 11:45:05.854312,
False,57,133,96,2018-06-13 11:45:05.870972,
False,57,132,96,2018-06-13 11:45:05.887610,
False,57,133,96,2018-06-13 11:45:05.904310,
False,57,134,96,2018-06-13 11:45:05.920979,
False,57,137,96,2018-06-13 11:45:05.937618,
False,57,140,96,2018-06-13 11:45:05.954354,
False,57,145,96,2018-06-13 11:45:05.970943,
False,57,150,96,2018-06-13 11:45:05.987616,
False,57,156,96,2018-06-13 11:45:06.004315,
False,57,162,96,2018-06-13 11:45:06.020992,
False,57,168,96,2018-06-13 11:45:06.037664,
False,57,173,96,2018-06-13 11:45:06.054299,
False,57,178,96,2018-06-13 11:45:06.070954,
False,57,182,96,2018-06-13 11:45:06.087633,
False,57,186,96,2018-06-13 11:45:06.104296,
False,57,188,96,2018-06-13 11:45:06.120950,
False,57,190,96,2018-06-13 11:45:06.137672,
False,57,191,96,2018-06-13 11:45:06.154398,
False,57,191,96,2018-06-13 11:45:06.170990,
False,57,191,96,2018-06-13 11:45:06.187671,
False,57,191,96,2018-06-13 11:45:06.204274,
False,57,191,96,2018-06-13 11:45:06.220981,
False,57,191,96,2018-06-13 11:45:06.237633,
False,57,190,96,2018-06-13 11:45:06.254288,
False,57,190,96,2018-06-13 11:45:06.270952,
False,57,190,96,2018-06-13 11:45:06.287633,
False,57,190,96,2018-06-13 11:45:06.304303,
False,57,190,96,2018-06-13 11:45:06.320952,
False,57,190,96,2018-06-13 11:45:06.337626,
False,57,190,96,2018-06-13 11:45:06.354295,
False,57,189,96,2018-06-13 11:45:06.371019,
False,57,188,96,2018-06-13 11:45:06.387605,
False,57,187,96,2018-06-13 11:45:06.404312,
False,57,186,96,2018-06-13 11:45:06.420967,
True,57,184,96,2018-06-13 11:45:06.437608,
True,57,182,96,2018-06-13 11:45:06.454280,
False,57,181,96,2018-06-13 11:45:06.471002,
False,57,179,96,2018-06-13 11:45:06.487606,
False,57,178,96,2018-06-13 11:45:06.504283,
False,57,176,96,2018-06-13 11:45:06.520968,
False,57,175,96,2018-06-13 11:45:06.537605,
False,57,174,96,2018-06-13 11:45:06.554281,
False,57,172,96,2018-06-13 11:45:06.570946,
False,57,171,96,2018-06-13 11:45:06.587617,
False,57,170,96,2018-06-13 11:45:06.604298,
False,57,168,96,2018-06-13 11:45:06.621071,
False,57,167,96,2018-06-13 11:45:06.637696,
False,57,166,96,2018-06-13 11:45:06.654341,
False,57,165,96,2018-06-13 11:45:06.670995,
False,57,163,96,2018-06-13 11:45:06.687621,
False,57,163,96,2018-06-13 11:45:06.704346,
False,57,163,96,2018-06-13 11:45:06.720952,
False,57,165,96,2018-06-13 11:45:06.737609,
False,57,168,96,2018-06-13 11:45:06.754295,
False,57,171,96,2018-06-13 11:45:06.770977,
False,57,175,96,2018-06-13 11:45:06.787623,
False,57,181,96,2018-06-13 11:45:06.804289,
False,57,186,96,2018-06-13 11:45:06.820943,
False,57,191,96,2018-06-13 11:45:06.837634,
False,57,196,96,2018-06-13 11:45:06.854271,
False,57,201,96,2018-06-13 11:45:06.870938,
False,57,204,96,2018-06-13 11:45:06.887642,
False,57,207,96,2018-06-13 11:45:06.904275,
False,57,208,96,2018-06-13 11:45:06.920945,
False,57,209,96,2018-06-13 11:45:06.937621,
False,57,210,96,2018-06-13 11:45:06.954258,
False,57,209,96,2018-06-13 11:45:06.970958,
False,57,209,96,2018-06-13 11:45:06.987594,
False,57,209,96,2018-06-13 11:45:07.004346,
False,57,208,96,2018-06-13 11:45:07.021016,
False,57,207,96,2018-06-13 11:45:07.037648,
False,57,206,96,2018-06-13 11:45:07.054270,
False,57,205,96,2018-06-13 11:45:07.070938,
False,57,204,96,2018-06-13 11:45:07.087600,
False,57,203,96,2018-06-13 11:45:07.104277,
False,57,202,96,2018-06-13 11:45:07.120954,
False,57,200,96,2018-06-13 11:45:07.137597,
False,57,199,96,2018-06-13 11:45:07.154274,
False,57,197,96,2018-06-13 11:45:07.170919,
True,63,195,97,2018-06-13 11:45:07.187611,
True,63,193,97,2018-06-13 11:45:07.204270,
False,63,191,97,2018-06-13 11:45:07.220919,
False,63,189,97,2018-06-13 11:45:07.237605,
False,63,187,97,2018-06-13 11:45:07.254280,
False,63,185,97,2018-06-13 11:45:07.270928,
False,63,183,97,2018-06-13 11:45:07.287632,
False,63,181,97,2018-06-13 11:45:07.304319,
False,63,179,97,2018-06-13 11:45:07.320921,
False,63,177,97,2018-06-13 11:45:07.337601,
False,63,175,97,2018-06-13 11:45:07.354278,
False,63,173,97,2018-06-13 11:45:07.370941,
False,63,171,97,2018-06-13 11:45:07.387605,
False,63,169,97,2018-06-13 11:45:07.404275,
False,63,168,97,2018-06-13 11:45:07.420934,
False,63,166,97,2018-06-13 11:45:07.437646,
False,63,164,97,2018-06-13 11:45:07.454247,
False,63,162,97,2018-06-13 11:45:07.470924,
False,63,161,97,2018-06-13 11:45:07.487603,
False,63,159,97,2018-06-13 11:45:07.504264,
False,63,159,97,2018-06-13 11:45:07.520924,
False,63,159,97,2018-06-13 11:45:07.537595,
False,63,161,97,2018-06-13 11:45:07.554249,
False,63,163,97,2018-06-13 11:45:07.570961,
False,63,166,97,2018-06-13 11:45:07.587585,
False,63,169,97,2018-06-13 11:45:07.604272,
False,63,172,97,2018-06-13 11:45:07.620945,
False,63,175,97,2018-06-13 11:45:07.637596,
False,63,178,97,2018-06-13 11:45:07.654263,
False,63,180,97,2018-06-13 11:45:07.670946,
False,63,181,97,2018-06-13 11:45:07.687597,
False,63,183,97,2018-06-13 11:45:07.704266,
False,63,183,97,2018-06-13 11:45:07.720991,
False,63,183,97,2018-06-13 11:45:07.737582,
False,63,183,97,2018-06-13 11:45:07.754300,
False,63,183,97,2018-06-13 11:45:07.770910,
False,63,182,97,2018-06-13 11:45:07.787593,
False,63,181,97,2018-06-13 11:45:07.804285,
False,63,180,97,2018-06-13 11:45:07.820923,
False,63,180,97,2018-06-13 11:45:07.837590,
False,63,179,97,2018-06-13 11:45:07.854281,
False,63,179,97,2018-06-13 11:45:07.870935,
False,63,179,97,2018-06-13 11:45:07.887595,
False,63,179,97,2018-06-13 11:45:07.904279,
False,63,179,97,2018-06-13 11:45:07.920919,
False,63,178,97,2018-06-13 11:45:07.937592,
False,63,178,97,2018-06-13 11:45:07.954248,
False,63,179,97,2018-06-13 11:45:07.970914,
False,63,179,97,2018-06-13 11:45:07.987592,
False,63,180,97,2018-06-13 11:45:08.004371,
False,63,181,97,2018-06-13 11:45:08.020937,
False,63,181,97,2018-06-13 11:45:08.037606,
False,63,181,97,2018-06-13 11:45:08.054243,
False,63,181,97,2018-06-13 11:45:08.070915,
False,63,181,97,2018-06-13 11:45:08.087591,
False,63,180,97,2018-06-13 11:45:08.104252,
True,63,178,97,2018-06-13 11:45:08.120918,
True,63,177,97,2018-06-13 11:45:08.137594,
False,63,175,97,2018-06-13 11:45:08.154267,
False,63,174,97,2018-06-13 11:45:08.170928,
False,63,173,97,2018-06-13 11:45:08.187562,
False,63,171,97,2018-06-13 11:45:08.204248,
False,63,170,97,2018-06-13 11:45:08.220929,
False,63,169,97,2018-06-13 11:45:08.237600,
False,63,168,97,2018-06-13 11:45:08.254275,
False,63,168,97,2018-06-13 11:45:08.270962,
False,63,168,97,2018-06-13 11:45:08.287586,
False,63,169,97,2018-06-13 11:45:08.304255,
False,63,171,97,2018-06-13 11:45:08.320938,
False,63,174,97,2018-06-13 11:45:08.337575,
False,63,178,97,2018-06-13 11:45:08.354268,
False,63,182,97,2018-06-13 11:45:08.370933,
False,63,186,97,2018-06-13 11:45:08.387580,
False,63,189,97,2018-06-13 11:45:08.404258,
False,63,192,97,2018-06-13 11:45:08.420908,
False,63,194,97,2018-06-13 11:45:08.437571,
False,63,196,97,2018-06-13 11:45:08.454257,
False,63,198,97,2018-06-13 11:45:08.470904,
False,63,199,97,2018-06-13 11:45:08.487588,
False,63,199,97,2018-06-13 11:45:08.504260,
False,63,200,97,2018-06-13 11:45:08.520895,
False,63,199,97,2018-06-13 11:45:08.537588,
False,63,198,97,2018-06-13 11:45:08.554295,
False,63,197,97,2018-06-13 11:45:08.570920,
False,63,195,97,2018-06-13 11:45:08.587596,
False,63,194,97,2018-06-13 11:45:08.604231,
False,63,192,97,2018-06-13 11:45:08.620907,
False,63,191,97,2018-06-13 11:45:08.637587,
False,63,191,97,2018-06-13 11:45:08.654239,
False,63,190,97,2018-06-13 11:45:08.670916,
False,63,189,97,2018-06-13 11:45:08.687581,
False,63,188,97,2018-06-13 11:45:08.704242,
False,63,187,97,2018-06-13 11:45:08.720965,
True,63,186,97,2018-06-13 11:45:08.737594,
True,63,184,97,2018-06-13 11:45:08.754239,
False,63,181,97,2018-06-13 11:45:08.770913,
False,63,179,97,2018-06-13 11:45:08.787607,
False,63,177,97,2018-06-13 11:45:08.804237,
False,63,175,97,2018-06-13 11:45:08.820921,
False,63,172,97,2018-06-13 11:45:08.837567,
False,63,171,97,2018-06-13 11:45:08.854246,
False,63,169,97,2018-06-13 11:45:08.870908,
False,63,167,97,2018-06-13 11:45:08.887585,
False,63,166,97,2018-06-13 11:45:08.904241,
False,63,164,97,2018-06-13 11:45:08.920954,
False,63,162,97,2018-06-13 11:45:08.937556,
False,63,160,97,2018-06-13 11:45:08.954257,
False,63,159,97,2018-06-13 11:45:08.970908,
False,63,158,97,2018-06-13 11:45:08.987591,
False,63,157,97,2018-06-13 11:45:09.004313,
False,63,158,97,2018-06-13 11:45:09.020890,
False,63,159,97,2018-06-13 11:45:09.037567,
False,63,161,97,2018-06-13 11:45:09.054253,
False,63,164,97,2018-06-13 11:45:09.070902,
False,63,168,97,2018-06-13 11:45:09.087591,
False,63,173,97,2018-06-13 11:45:09.104245,
False,63,179,97,2018-06-13 11:45:09.120901,
False,63,184,97,2018-06-13 11:45:09.137573,
False,63,189,97,2018-06-13 11:45:09.154247,
False,63,193,97,2018-06-13 11:45:09.170900,
False,63,197,97,2018-06-13 11:45:09.187572,
False,63,199,97,2018-06-13 11:45:09.204258,
False,63,200,97,2018-06-13 11:45:09.220903,
False,63,200,97,2018-06-13 11:45:09.237601,
False,63,200,97,2018-06-13 11:45:09.254228,
False,63,200,97,2018-06-13 11:45:09.270903,
False,63,198,97,2018-06-13 11:45:09.287582,
False,63,196,97,2018-06-13 11:45:09.304249,
False,63,195,97,2018-06-13 11:45:09.320936,
True,63,193,97,2018-06-13 11:45:09.337571,
True,63,192,97,2018-06-13 11:45:09.354225,
False,63,190,97,2018-06-13 11:45:09.370976,
False,63,189,97,2018-06-13 11:45:09.387640,
False,63,188,97,2018-06-13 11:45:09.404243,
False,63,187,97,2018-06-13 11:45:09.420924,
False,63,187,97,2018-06-13 11:45:09.437555,
False,63,186,97,2018-06-13 11:45:09.454231,
False,63,186,97,2018-06-13 11:45:09.470901,
False,63,185,97,2018-06-13 11:45:09.487555,
False,63,184,97,2018-06-13 11:45:09.504230,
False,63,183,97,2018-06-13 11:45:09.520906,
False,63,181,97,2018-06-13 11:45:09.537550,
False,63,179,97,2018-06-13 11:45:09.554236,
False,63,178,97,2018-06-13 11:45:09.570955,
False,63,176,97,2018-06-13 11:45:09.587557,
False,63,175,97,2018-06-13 11:45:09.604282,
False,63,174,97,2018-06-13 11:45:09.620880,
False,63,172,97,2018-06-13 11:45:09.637571,
False,63,172,97,2018-06-13 11:45:09.654231,
False,63,170,97,2018-06-13 11:45:09.670898,
False,63,169,97,2018-06-13 11:45:09.687615,
False,63,169,97,2018-06-13 11:45:09.704234,
False,63,168,97,2018-06-13 11:45:09.720894,
False,63,169,97,2018-06-13 11:45:09.737586,
False,63,169,97,2018-06-13 11:45:09.754246,
False,63,170,97,2018-06-13 11:45:09.770914,
False,63,172,97,2018-06-13 11:45:09.787562,
False,63,174,97,2018-06-13 11:45:09.804245,
False,63,178,97,2018-06-13 11:45:09.820909,
False,63,182,97,2018-06-13 11:45:09.837567,
False,63,186,97,2018-06-13 11:45:09.854216,
False,63,191,97,2018-06-13 11:45:09.870940,
False,63,196,97,2018-06-13 11:45:09.887552,
False,63,201,97,2018-06-13 11:45:09.904217,
False,63,205,97,2018-06-13 11:45:09.920881,
False,63,209,97,2018-06-13 11:45:09.937549,
False,63,212,97,2018-06-13 11:45:09.954216,
False,63,215,97,2018-06-13 11:45:09.970896,
False,63,217,97,2018-06-13 11:45:09.987541,
False,63,218,97,2018-06-13 11:45:10.004258,
False,63,218,97,2018-06-13 11:45:10.020925,
False,63,218,97,2018-06-13 11:45:10.037560,
False,63,218,97,2018-06-13 11:45:10.054239,
False,63,217,97,2018-06-13 11:45:10.070904,
False,63,215,97,2018-06-13 11:45:10.087552,
False,63,214,97,2018-06-13 11:45:10.104219,
False,63,213,97,2018-06-13 11:45:10.120899,
False,63,211,97,2018-06-13 11:45:10.137536,
False,63,210,97,2018-06-13 11:45:10.154237,
False,63,208,97,2018-06-13 11:45:10.170905,
False,63,206,97,2018-06-13 11:45:10.187555,
False,63,205,97,2018-06-13 11:45:10.204226,
False,63,203,97,2018-06-13 11:45:10.220878,
False,63,201,97,2018-06-13 11:45:10.237547,
True,63,198,97,2018-06-13 11:45:10.254240,
True,63,196,97,2018-06-13 11:45:10.270876,
False,63,193,97,2018-06-13 11:45:10.287570,
False,63,190,97,2018-06-13 11:45:10.304257,
False,63,187,97,2018-06-13 11:45:10.320877,
False,63,185,97,2018-06-13 11:45:10.337550,
False,63,183,97,2018-06-13 11:45:10.354230,
False,63,180,97,2018-06-13 11:45:10.370883,
False,63,179,97,2018-06-13 11:45:10.387549,
False,63,177,97,2018-06-13 11:45:10.404212,
False,63,175,97,2018-06-13 11:45:10.420882,
False,63,174,97,2018-06-13 11:45:10.437548,
False,63,172,97,2018-06-13 11:45:10.454199,
False,63,170,97,2018-06-13 11:45:10.470877,
False,63,168,97,2018-06-13 11:45:10.487552,
False,63,167,97,2018-06-13 11:45:10.504241,
False,63,166,97,2018-06-13 11:45:10.520869,
False,63,166,97,2018-06-13 11:45:10.537554,
False,63,166,97,2018-06-13 11:45:10.554208,
False,63,168,97,2018-06-13 11:45:10.570886,
False,63,170,97,2018-06-13 11:45:10.587532,
False,63,174,97,2018-06-13 11:45:10.604206,
False,63,178,97,2018-06-13 11:45:10.620877,
False,63,182,97,2018-06-13 11:45:10.637537,
False,63,186,97,2018-06-13 11:45:10.654208,
False,63,190,97,2018-06-13 11:45:10.670873,
False,63,193,97,2018-06-13 11:45:10.687551,
False,63,195,97,2018-06-13 11:45:10.704206,
False,63,197,97,2018-06-13 11:45:10.720897,
False,63,199,97,2018-06-13 11:45:10.737541,
False,63,200,97,2018-06-13 11:45:10.754209,
False,63,201,97,2018-06-13 11:45:10.770901,
False,63,202,97,2018-06-13 11:45:10.787538,
False,63,202,97,2018-06-13 11:45:10.804217,
False,63,201,97,2018-06-13 11:45:10.820859,
False,63,200,97,2018-06-13 11:45:10.837628,
False,63,199,97,2018-06-13 11:45:10.854220,
False,63,196,97,2018-06-13 11:45:10.870886,
True,63,194,97,2018-06-13 11:45:10.887549,
True,63,193,97,2018-06-13 11:45:10.904217,
False,63,191,97,2018-06-13 11:45:10.920857,
False,63,190,97,2018-06-13 11:45:10.937535,
False,63,188,97,2018-06-13 11:45:10.954217,
False,63,187,97,2018-06-13 11:45:10.970880,
False,63,185,97,2018-06-13 11:45:10.987541,
False,63,183,97,2018-06-13 11:45:11.004255,
False,63,182,97,2018-06-13 11:45:11.020906,
False,63,180,97,2018-06-13 11:45:11.037546,
False,63,177,97,2018-06-13 11:45:11.054198,
False,63,175,97,2018-06-13 11:45:11.070892,
False,63,173,97,2018-06-13 11:45:11.087554,
False,63,171,97,2018-06-13 11:45:11.104191,
